model,learning_rate,batch_size,acc,time
gated_cnn,0.001,100,0.8919933277731443,16.000032424926758
bert,0.001,100,0.664720600500417,2896.003246307373
lstm,0.001,100,0.8794829024186822,36.998748779296875
