Learning_rate,Model,hidden_size,acc,time(Ô¤²â100ºÄÊ±)
0.001,gated_cnn,256,0.9964962042212396,138.10945796966553
0.001,bert,256,0.6663051639275882,16463.14177966118
0.001,lstm,256,0.9864019354300492,282.498170375824
